Dzień dobry (Джень добры);Здравствуйте
Jak się masz? (Як ще маш?);Как у вас дела?
Dziękuję, dobrze (Дженькуе, добжэ);Хорошо, спасибо
Jak masz na imię? (Як маш на имье?);Как Вас зовут?
Mam na imię ______ (Мам на име _____);Меня зовут ______
Bardzo przyjemnie mi pana m / pani f poznać (Бардзо пшыемне ми пана / пани позначь);Очень приятно познакомиться
Proszę (формально) / Nie ma za co (неформально) (Проше, не ма за цо);Не за что
Proszę mi wybaczyć (Проше ми выбачычь);Простите (просить прощения)
Do widzenia (формально) / pa (неформально) (До видзэня, па);До свидания
Na razie (На разе);Пока
Nie mówię po … [dobrze] (Не муве по … [добжэ]);Я не говорю по-название языка [хорошо]
Nie mówię dobrze po polsku (Не муве добжэ по польску);Я не говорю по-польски хорошо
Czy mówisz po rosyjsku? (Чы мувиш по росыйску?);Вы говорите по-русски?
Czy ktoś tu mówi po rosyjsku? (Чы ктощь ту муви по росыйску?);Кто-нибудь здесь говорит по-русски?
Pomocy! или Ratunku! (Помоцы! или Ратунку!);Помогите!
Uwaga! или Ostrożnie! (Увага! или Острожне!);Осторожно!
Dzień dobry (Джень добры);Доброе утро
Dzień dobry (Джень добры);Добрый день
Dobry wieczór (Добры вечур);Добрый вечер
Na dobranoc (На добраноц);Спокойной ночи
Nie rozumiem (Не розумем);Я не понимаю
Gdzie się znajduje toaleta? (Гдже ще знайдуе тоалета?);Где находится туалет?
Zostaw mnie (Зостав мне);Отстань!
Nie dotykaj mnie! (Не дотыкай мне!);Не трогай меня!
Zawołam policję (Завоԝам полицъе!);Я вызову полицию
Zatrzymać złodzieja! (Затшымач зԝоджея!);Держите вора!
Proszę o pomoc (Прошэ о помоц);Мне нужна ваша помощь
To pilne! (То пильне!);Это срочно!
Zgubiłem się (Згубиԝэм ще);Я заблудился
Zgubiłem walizkę (Згубиԝем вализке);Я потерял свою сумку
Zgubiłem swój portfel (Згубиԝэм сфуй портфэль);Я потерял свой бумажник
Jestem chory (Естэм хоры);Я болен
Jestem ranny (Естэм ранны);Я ранен
Potrzebuję lekarza (Потшэбуе лекажа);Мне нужен врач
Czy mogę skorzystać z telefonu? (Чы могэ скожыстачь з тэлефону?);Можно от вас позвонить?
Dwadzieścia pięć (Дваджещьча пеньчь);25
Sto pięćdziesiąt (Сто пенчьджещёнт);150
Dwa tysiące (Два тысёнцэ);2 000
